7.26b,"['Level 10 left talent: +20 movement speed reduced to +15.', 'Level 10 right talent: +5 armor reduced to +4.', 'Level 15 left talent: +30  Battery Assault damage reduced to +24.', 'Level 15 right talent: +15  strength reduced to +12.', 'Level 20 left talent: +125  Rocket Flare damage reduced to +100.', 'Level 25 left talent: -0.3s  Battery Assault interval reduced to -0.25s.', 'Level 25 right talent: +50% magic resistance reduced to +40%.', 'Talents:']"
7.25c,['Reduced  strength gain from 3.7 to 3.5.']
7.23,"['Movement speed bonus: 40%', 'Attack speed bonus: 200', 'Duration: 8', 'Expire stun duration: 4', 'Notes: Only resets ability cooldowns, items are not refreshed. The stun cannot be dodged by anything, and is applied even when invulnerable or hidden as it expires.', 'Primary target latch damage now pierces spell immunity.', 'Reduced cooldown from 70/55/40 to 60/45/30.', ' Hookshot\nPrimary target latch damage now pierces spell immunity.\nReduced cooldown from 70/55/40 to 60/45/30.', "" Aghanim's Scepter\nNo longer reduces  Hookshot cooldown from 70/55/40 to 12 on each level.\nNow grants a new ability:  Overclocking:"", 'No longer reduces  Hookshot cooldown from 70/55/40 to 12 on each level.', 'Now grants a new ability:  Overclocking:']"
7.22g,"['Increased base  intelligence and gain from 17 + 1.3 to 18 + 1.5.', 'Increased movement speed from 310 to 315.', 'Increased  Power Cogs shock search radius from 170 to 185.']"
7.22f,['Increased  Hookshot stun duration from 1/1.5/2 to 1.5/1.75/2.']
7.22c,['Reduced  Battery Assault cooldown from 32/28/24/20 to 24/22/20/18.']
7.22,['Increased base armor from -1 to 0.']
7.21,"['Level 20 right talent changed: +20% magic resistance ->  Rocket Flare provides True Sight.', 'Level 25 right talent changed:  Rocket Flare provides True Sight -> +50% magic resistance.', 'Increased  strength gain from 3.2 to 3.7.', 'Reduced  Battery Assault cast time from 0.3 to 0.', 'Reduced  Rocket Flare mana cost from 50 on each level to 35/40/45/50.', 'Talents:']"
7.20,"['Reduced base health regeneration from 1.5 to 0.', 'Reduced base mana regeneration from 0.9 to 0.', ' Power Cogs\nIncreased knockback distance from 250 to 300.\nIncreased knockback duration from 0.85 to 1.\nIncreased damage from 50/100/150/200 to 50/125/200/275.\nReduced mana drain from 50/100/150/200 to 50/80/110/140.', 'Increased knockback distance from 250 to 300.', 'Increased knockback duration from 0.85 to 1.', 'Increased damage from 50/100/150/200 to 50/125/200/275.', 'Reduced mana drain from 50/100/150/200 to 50/80/110/140.', 'Increased  Rocket Flare projectile speed from 1750 to 2250.']"
7.18,['Reduced  Power Cogs damage and mana drain from 80/120/160/200 to 50/100/150/200.']
7.17,['Reduced base attack damage from 28-30 to 24-26.']
7.16,"['Level 10 left talent: +25 movement speed reduced to +20.', 'Increased  Power Cogs mana cost from 50/60/70/80 to 80 on each level.', 'Talents:']"
7.13b,"['Reduced base armor from 0 to -1.', 'Reduced movement speed from 315 to 310.']"
7.07c,['Reduced hits required to kill  Power Cogs from 2/2/2/3 to 2 on each level.']
7.07,"['Level 10: +200 mana or +4 armor', 'Level 15: +75  Rocket Flare damage or +50 attack damage', 'Level 20: +12% magic resistance or +40  Battery Assault damage', 'Level 25: +10s  Battery Assault duration or +400 health', 'Increased base health regeneration from 0 to 1.5.', 'Increased base mana regeneration from 0.01 to 0.9.', 'Neutral creeps shocked by  Power Cogs now draw aggro and can be auto-attacked again.', 'Reworked talents:']"
7.06e,"['Reduced base attack damage from 31-33 to 28-30 (total damage is now 54-56).', 'Increased  Battery Assault mana cost from 75 to 100.']"
7.06d,['Reduced  Hookshot damage from 100/200/300 to 75/175/275.']
7.06,"['Level 20 right talent changed: -25s respawn time -> +40  Battery Assault damage.', 'Increased  strength gain from 2.9 to 3.2.', 'Reduced base health regeneration from 0.25 to 0.', 'Talents:']"
7.05,['Increased base  strength from 24 to 26.']
7.02,"['Level 15 right talent: +40 attack damage increased to +50.', 'Level 15 left talent changed: +15 movement speed -> +75  Rocket Flare damage.', 'Talents:']"
7.00,"['Level 10: +200 mana or +4 armor', 'Level 15: +15 movement speed or +40 attack damage', 'Level 20: +12% magic resistance or -25s respawn time', 'Level 25: +10  Battery Assault duration or +400 health', 'Added talents:']"
6.88,"['Reduced cast time from 0.3 to 0.2.', 'Increased radius from 200 to 215.', ' Power Cogs\nReduced cast time from 0.3 to 0.2.\nIncreased radius from 200 to 215.', 'Increased  Rocket Flare radius from 575 to 600.']"
6.87,"['Increased attack range from 128 to 150.', 'Increased  Battery Assault damage from 20/40/60/80 to 20/45/70/95.', ' Power Cogs\nReduced knockback distance from 252 to 250.\nIncreased knockback duration from 0.84 to 0.85.', 'Reduced knockback distance from 252 to 250.', 'Increased knockback duration from 0.84 to 0.85.']"
6.86,"['Increased  strength gain from 2.7 to 2.9.', ' Power Cogs now form a circle around Clockwerk rather than a square.']"
6.84,"['Increased  Rocket Flare projectile speed from 1500 to 1750.', ' Battery Assault and  Rocket Flare no longer ignores ancient creeps, Roshan and creep-heroes.']"
6.83,['Increased  Battery Assault damage from 15/35/55/75 to 20/40/60/80.']
6.82,"['It previously triggered on neutral creeps without any effect.', ' Hookshot now pulls Clockwerk to neutral creeps normally like any unit.\nIt previously triggered on neutral creeps without any effect.']"
6.80,['Reduced hits required to kill  Power Cogs from 3 to 2/2/2/3.']
6.79,['Units knocked back by  Power Cogs now destroy trees in 100 radius around where they land.']
6.78,[' Power Cogs no longer affect spell immune units.']
6.77,['Increased  agility gain from 1.2 to 2.3.']
6.76,"['Now pulls Clockwerk to allies instead of getting blocked by them.', "" Aghanim's Scepter upgraded cooldown decreased from 15 to 12."", "" Hookshot\nNow pulls Clockwerk to allies instead of getting blocked by them.\n Aghanim's Scepter upgraded cooldown decreased from 15 to 12.""]"
6.75,"['Increased  strength gain from 2.4 to 2.7.', 'Reduced  Battery Assault damage interval from 0.75 to 0.7.', ' Power Cogs\nIncreased damage and mana drain from 60/90/120/150 to 80/120/160/200.\nIncreased duration from 3/4/5/6 to 5/6/7/8.\nFixed not triggering and burning mana/health when someone  Force Staffs over it.', 'Increased damage and mana drain from 60/90/120/150 to 80/120/160/200.', 'Increased duration from 3/4/5/6 to 5/6/7/8.', 'Fixed not triggering and burning mana/health when someone  Force Staffs over it.']"
6.74,['Increased  Power Cogs damage and mana drain from 55/70/85/100 to 60/90/120/150.']
6.72d,['Increased collision size from 12 to 24.']
6.72c,"['Reduced collision size from 24 to 12.', 'Fixed  Hookshot having inconsistent behavior on spell immune units.']"
6.72,"['Reduced base Armor from 1 to 0 (total armor is now 1.82).', 'Increased attack range from 125 to 128.']"
6.71,"['Fixed a bug that caused them to die prematurely.', 'Are no longer affected by  Shrapnel.', ' Power Cogs\nFixed a bug that caused them to die prematurely.\nAre no longer affected by  Shrapnel.']"
6.69,['Increased movement speed from 310 to 315.']
6.68,"['Increased base Armor from o to 1 (total armor is now 2.82).', 'Increased  Battery Assault damage from 10/30/50/70 to 15/35/55/75.', 'Reduced  Hookshot cooldown from 80/60/40 to 70/55/40.']"
6.67,"['Heroes within a small radius are now ""sucked in"" upon cast.', 'Fixed some possible bugs with Power Cogs.', ' Power Cogs unit trapping code improved a little bit.\nHeroes within a small radius are now ""sucked in"" upon cast.\nFixed some possible bugs with Power Cogs.', ""Reduced  Aghanim's Scepter upgraded  Hookshot cooldown from 20 to 15.""]"
6.66,['Reduced  Rocket Flare cooldown from 30/25/20/15 to 20/18/16/14.']
6.64,['Reduced base Armor from 1 to 0 (total armor is now 1.82).']
6.63,"['Rescaled  Rocket Flare vision duration from 5/10/15/20 to 10 on each level.', 'Reduced  Battery Assault damage from 20/40/60/80 to 10/30/50/70.']"
6.60,"[""Added  Aghanim's Scepter upgrade for Clockwerk: Allows  Hookshot to latch onto allies and reduces cooldown from 80/60/40 to 20.""]"
6.57,"['Increased gold bounty to  Power Cogs from 5-10 to 15-20.', 'Reduced  intelligence gain from 1.7 to 1.3.', 'Increased  Hookshot mana cost from 125 to 150.']"
6.55,"['Reduced  Battery Assault duration from 15.75 to 10.5 (22 shrapnels to 15 shrapnels).', 'Increased  Hookshot cooldown from 40/35/30 to 80/60/40.']"
6.54,"['Reduced base armor from 2 to 1 (total armor is now 2.82).', 'Reduced  strength gain from 2.9 to 2.4.', ' Power Cogs no longer affects invulnerable units.', 'Reduced  Rocket Flare damage from 100/133/166/200 to 80/120/160/200.', ' Hookshot now destroys trees within a small radius around Clockwerk after reaching the latched unit.']"
6.53,['Created.']
