7.26c,"['Level 10 left talent: -1.5s  Shackleshot cooldown increased to -2s.', 'Talents:']"
7.26b,"['Level 10 left talent: -2s  Shackleshot cooldown reduced to -1.5s.', 'Level 10 right talent: +2 mana regen reduced to +1.5.', 'Level 15 left talent: +125 attack range reduced to +100.', 'Level 15 right talent: +125  Powershot damage reduced to +100.', 'Level 20 left talent: -20%  Focus Fire attack damage reduction reduced to 16%.', 'Level 20 right talent: +1s  Shackleshot success stun duration reduced to +0.8s.', 'Level 25 left talent: 30% cooldown reduction reduced to 25%.', 'Talents:']"
7.25,['Increased  intelligence gain from 3 to 3.6.']
7.23,"['Level 20 left talent changed:  Windrun grants invisibility [?] -> -20%  Focus Fire attack damage reduction.', 'Level 25 right talent changed: -20%  Focus Fire attack damage reduction ->  Windrun grants invisibility [?].', 'Increased  Focus Fire attack speed bonus from 450 to 475.', 'Talents:']"
7.22h,"['Level 10 right talent: +3 mana regen reduced to +2.', 'Talents:']"
7.22,"['Level 10 left talent changed: +30%  Windrun movement speed slow -> -2s  Shackleshot cooldown.', 'Level 25 right talent changed: 35% Bash during  Focus Fire, 0.01s duration [?] -> -20%  Focus Fire attack damage reduction.', 'Reduced  Focus Fire cooldown from 70 on each level to 70/50/30.', "" Aghanim's Scepter\nNo longer reduces  Focus Fire cooldown to 15 seconds.\nNo longer reduces  Focus Fire attack damage reduction to 30%/15%/0%.\nNow reduces  Windrun's cooldown to 0.25 seconds, grants it 2 charges that have a 15/14/13/12 second replenish time, increases the movement speed bonus by 45%, and makes it remove the movement speed limit while active."", 'No longer reduces  Focus Fire cooldown to 15 seconds.', 'No longer reduces  Focus Fire attack damage reduction to 30%/15%/0%.', ""Now reduces  Windrun's cooldown to 0.25 seconds, grants it 2 charges that have a 15/14/13/12 second replenish time, increases the movement speed bonus by 45%, and makes it remove the movement speed limit while active."", 'Talents:']"
7.21d,"['Increased base  strength from 17 to 18.', 'Increased  Focus Fire attack speed bonus from 425 to 450.']"
7.21c,"['Reduced  Shackleshot cooldown from 18/16/14/12 to 16/14/12/10.', 'Increased  Focus Fire attack speed bonus from 400 to 425.']"
7.21,"['Level 15 left talent: +100 attack range increased to +125.', 'Level 15 right talent: +100  Powershot damage increased to +125.', 'Increased  intelligence gain from 2.6 to 3.', 'Reduced movement speed from 295 to 290.', 'Talents:']"
7.20,"['Level 10 right talent: +1.75 mana regen increased to +3.', 'Increased  strength gain from 2.8 to 3.', 'Reduced base health regeneration from 1.5 to 0.', 'Reduced base mana regeneration from 0.9 to 0.', 'Talents:']"
7.19,['Increased  Windrun cooldown from 12 on each level to 15/14/13/12.']
7.18,"['Reduced base  intelligence from 20 to 18.', 'Reduced  Powershot damage from 180/270/360/450 to 150/250/350/450.']"
7.15,"['Reduced base  intelligence from 22 to 20.', 'Increased base attack damage from 22-34 to 24-36.']"
7.14,"['Increased  Powershot damage from 180/260/340/420 to 180/270/360/450.', ' Focus Fire\nNow makes the caster always attack the target unless attack targets get switched, or when not moving. [?]\nIncreased attack speed bonus from 350 to 400.', 'Now makes the caster always attack the target unless attack targets get switched, or when not moving. [?]', 'Increased attack speed bonus from 350 to 400.']"
7.13b,['Increased base  strength from 15 to 17.']
7.12,['Fixed some clunkiness with how Windranger attacks the target during  Focus Fire.']
7.10,"['Level 20 right talent: +0.5s  Shackleshot success stun duration increased to +1s.', 'Reduced  Shackleshot mana cost from 90/100/110/120 to 70/85/100/115.', 'Talents:']"
7.08,"['Level 20 right talent changed: +1  Shackleshot max targets -> +0.5s  Shackleshot success stun duration.', 'Level 25 right talent: 30% Bash during  Focus Fire increased to 35%', 'Reduced  Windrun mana cost from 60 to 50.', 'Talents:']"
7.07c,"['Level 15 left talent: +75 attack range increased to +100.', 'Level 15 right talent: +90  Powershot damage increased to +100.', 'Level 20 right talent changed: 25% cooldown reduction -> +1  Shackleshot max targets.', 'Level 25 left talent changed: +1  Shackleshot max targets -> 30% cooldown reduction.', 'Level 25 right talent: 20% Bash during  Focus Fire increased to 30%', 'Increased turn rate from 0.6 to 0.8.', 'Increased  Windrun movement speed bonus from 50% to 60%.', 'Talents:']"
7.07,"['Level 10: +30%  Windrun movement speed slow or +4 mana regen', 'Level 15: +20  intelligence or +40 movement speed', 'Level 20: +120  Powershot damage or  Windrun grants invisibility [?]', 'Level 25: 30% cooldown reduction or +150 attack range', 'Increased base health regeneration from 0 to 1.5.', 'Increased base mana regeneration from 0.01 to 0.9.', ' Shackleshot now shows an indicator for the missed area if it fails to latch onto a target.', ' Focus Fire\nNow allows Windranger to move while attacking the Focus Fire target.\nReduced attack speed bonus from 500 to 350.\nIncreased cooldown from 60 to 70.', 'Now allows Windranger to move while attacking the Focus Fire target.', 'Reduced attack speed bonus from 500 to 350.', 'Increased cooldown from 60 to 70.', 'Reworked talents:']"
7.06f,"['Increased success stun duration from 1.5/2.25/3/3.75 to 2/2.6/3.2/3.8.', 'Increased cooldown from 12 on each level to 18/16/14/12.', ' Shackleshot\nIncreased success stun duration from 1.5/2.25/3/3.75 to 2/2.6/3.2/3.8.\nIncreased cooldown from 12 on each level to 18/16/14/12.']"
7.06e,['Reduced  Windrun mana cost from 75 to 60.']
7.06d,['Increased  Windrun enemy movement speed slow from 8%/16%/24%/32% to 15%/20%/25%/30%.']
7.06,"['Level 20 left talent changed: +20% magic resistance -> +120  Powershot damage.', 'Level 20 right talent changed: +15% spell damage amplification ->  Windrun grants invisibility [?].', 'Level 25 left talent changed: -7s  Powershot cooldown -> 30% cooldown reduction.', 'Level 25 right talent: +100 attack range increased to +150.', 'Increased  strength gain from 2.5 to 2.8.', 'Reduced base health regeneration from 0.25 to 0.', 'Talents:']"
7.03,"['Level 10 left talent: +25%  Windrun movement speed slow increased to +30%.', 'Level 25 left talent: -6s  Powershot cooldown increased to -7s.', 'Reduced  Windrun cooldown from 13 to 12.', 'Talents:']"
7.02,"['Level 10 left talent changed: +15 attack damage -> +25%  Windrun movement speed slow.', 'Level 15 left talent: +16  intelligence increased to +20.', 'Level 15 right talent changed: +200 health -> +40 movement speed.', 'Level 20 left talent: +12% magic resistance increased to +20%.', 'Level 20 right talent: +12% spell damage amplification increased to +15%.', 'Level 25 left talent: -5s  Powershot cooldown increased to -6s.', 'Increased damage from 120/220/320/420 to 180/260/340/420.', 'Increased cooldown from 9 on each level to 12/11/10/9.', ' Powershot\nIncreased damage from 120/220/320/420 to 180/260/340/420.\nIncreased cooldown from 9 on each level to 12/11/10/9.', ' Windrun\nIncreased slow radius from 300 to 325.\nReduced mana cost from 100 to 75.', 'Increased slow radius from 300 to 325.', 'Reduced mana cost from 100 to 75.', 'Talents:']"
7.01,"['Level 15 left talent: +13  intelligence increased to +16.', 'Level 15 right talent: +150 health increased to +200.', 'Reduced  Windrun cooldown from 14 to 13.', 'Talents:']"
7.00,"['Level 10: +15 attack damage or +4 mana regen', 'Level 15: +13  intelligence or +150 health', 'Level 20: +12% magic resistance or +12% spell damage amplification', 'Level 25: -5s  Powershot cooldown or +100 attack range', ' Windrun is now dispellable.', ' Powershot\nIncreased base damage from 120/200/280/360 to 120/220/320/420.\nIncreased damage reduction per hit unit from 10% to 20%.', 'Increased base damage from 120/200/280/360 to 120/220/320/420.', 'Increased damage reduction per hit unit from 10% to 20%.', 'Added talents:']"
6.88,['Reduced  Windrun cooldown from 15 to 14.']
6.86,"['Is now disjointable.', 'Increased projectile speed from 1515 to 1650.', 'Reduced latch angle from 26° to 23°.', ' Shackleshot\nIs now disjointable.\nIncreased projectile speed from 1515 to 1650.\nReduced latch angle from 26° to 23°.', ' Powershot travel speed is no longer reduced by 10% per hit enemy.']"
6.84,['Reduced  Shackleshot cast point from 0.3 to 0.15.']
6.83,"['Increased cast range and travel distance from 1825 to 2600.', 'Max damage is now reached after 1 second of channeling, instead of 0.7 seconds.', 'Reduced cast point from 0.3 to 0.', 'Reduced vision radius from 800 to 400.', ' Powershot\nIncreased cast range and travel distance from 1825 to 2600.\nMax damage is now reached after 1 second of channeling, instead of 0.7 seconds.\nReduced cast point from 0.3 to 0.\nReduced vision radius from 800 to 400.', 'Increased  Focus Fire attack speed bonus from 400 to 500.']"
6.82,"['Increased  Shackleshot search range from 525 to 575.', 'Increased  Windrun duration from 2.75/3.5/4.25/5 to 3/4/5/6.']"
6.81b,['Reduces  Focus Fire mana cost from 150 on each level to 75/100/125.']
6.81,"['Activating  Windrun now disjoints incoming attack projectiles.', "" Aghanim's Scepter upgraded  Focus Fire\nNo longer causes Focus Fire to not reduce damage of secondary item effects.\nNow reduces the attack damage reduction from 50%/40%/30% to 30%/15%/0%."", 'No longer causes Focus Fire to not reduce damage of secondary item effects.', 'Now reduces the attack damage reduction from 50%/40%/30% to 30%/15%/0%.']"
6.80,"['Reduced cast point from 0.3 to 0.', 'Reduced mana cost from 200/300/400 to 150 on each level.', ' Focus Fire\nReduced cast point from 0.3 to 0.\nReduced mana cost from 200/300/400 to 150 on each level.']"
6.79,"['This means that Windranger can change targets and when returning to the original target, her attack speed bonus will resume.', ' Focus Fire now remains sticky on the target it is cast on.\nThis means that Windranger can change targets and when returning to the original target, her attack speed bonus will resume.']"
6.72,['Increased  Shackleshot cooldown from 10 to 12.']
6.69,"['Reduced night vision from 1200 to 800.', 'Reduced  Shackleshot search angle from 30° to 26°.']"
6.65,['Reduced  Windrun cooldown from 30/25/20/15 to 15 on each level.']
6.60,"['Reduced base attack time from 1.6 to 1.5.', ""Added  Aghanim's Scepter upgrade for Windranger: Causes  Focus Fire to not reduce damage from secondary item effects and reduces cooldown from 60 to 15.""]"
6.59,['Reduced  Powershot cooldown from 12 to 9.']
6.58,[' Focus Fire no longer has a 10 attacks limit.']
6.57,"['Fixed Windranger not appearing in Single Draft.', ' Shackleshot\nFixed not registering  Sprout trees.\nChanged search angle from [ Info Needed ] to 30°.\nChanged search range from [ Info Needed ] to 525.\nIncreased stun duration from 1.4/2.1/2.8/3.5 to 1.5/2.25/3/3.75.\nReduced cooldown from 14 to 10.', 'Fixed not registering  Sprout trees.', 'Changed search angle from [ Info Needed ] to 30°.', 'Changed search range from [ Info Needed ] to 525.', 'Increased stun duration from 1.4/2.1/2.8/3.5 to 1.5/2.25/3/3.75.', 'Reduced cooldown from 14 to 10.', ' Windrun\nNo longer causes Windranger to forget her current order.\nReduced cooldown from 65/50/35/20 to 30/25/20/15.', 'No longer causes Windranger to forget her current order.', 'Reduced cooldown from 65/50/35/20 to 30/25/20/15.']"
6.55,['Created.']
