7.26c,"['Level 10 right changed: +25 attack damage -> +10  intelligence.', 'Level 20 right changed: 12% spell lifesteal -> +50 attack damage.', 'Level 25 left: +1.2s  Terrorize duration increased to +1.3s', 'Level 25 right: +140 Attack speed reduced to +110.', 'Talents:']"
7.26b,"['Level 10 left: +125 cast range reduced to +100.', 'Level 10 right: +30 attack damage reduced to +25.', 'Level 15 left: +35 movement speed reduced to +30.', 'Level 15 right: +40  Bedlam damage per attack reduced to +32.', 'Level 20 left: -12s  Bramble Maze cooldown reduced to -10s.', 'Level 20 right: 15% spell lifesteal reduced to 12%.', 'Level 25 left: +1.5s  Terrorize duration reduced to +1.2s.', 'Level 25 right: +175 Attack speed reduced to +140.', 'Talents:']"
7.24,"['Level 15 right Talent changed: +120 gold per minute -> +40  Bedlam damage per attack.', 'Talents:']"
7.23,"['Level 20 right talent: 10% spell lifesteal increased to 15%.', 'Increased  Bedlam damage per attack from 60/110/160 to 75/125/175.', 'Talents:']"
7.22f,"['Reduced duration from 4 on each level to 3.5/3.75/4.', 'Increased cooldown from 100/80/60 to 100/90/80.', ' Terrorize\nReduced duration from 4 on each level to 3.5/3.75/4.\nIncreased cooldown from 100/80/60 to 100/90/80.']"
7.22d,['Reduced  Bramble Maze cooldown from 25 to 20.']
7.22c,"['Increased base attack speed from 100 to 115.', 'Reduced  Shadow Realm max damage duration from 4 to 3.5.']"
7.22b,"['Level 25 right talent: +200 attack speed reduced to +175.', 'Increased base attack time from 1.3 to 1.5.', 'Increased  Shadow Realm max damage duration from 3 to 4.', 'Talents:']"
7.22,"['Level 15 right talent: +90 gold per minute reduced to +120.', 'Level 20 left talent changed: +300  Shadow Realm damage -> -12s  Bramble Maze cooldown.', ""Added  Aghanim's Scepter upgrade for Dark Willow: Attacking no longer takes Dark Willow out of  Shadow Realm, with each attack during it still applying the damage based on its duration, and using the increased attack range."", 'Talents:']"
7.21,"['Increased  intelligence gain from 3 to 3.5.', 'Reduced movement speed from 295 to 290.', ' Bramble Maze\nReduced mana cost from 140/150/160/170 to 100/120/140/160.\nReduced cooldown from 34/31/28/25 to 25 on each level.', 'Reduced mana cost from 140/150/160/170 to 100/120/140/160.', 'Reduced cooldown from 34/31/28/25 to 25 on each level.']"
7.20,"['Increased  strength gain from 1.8 to 2.', 'Reduced base health regeneration from 1.5 to 0.', 'Reduced base mana regeneration from 0.9 to 0.']"
7.19c,"['Reduced  Bramble Maze damage per second from 140/120/110/104 to 125/100/87.5/80. [?]', 'Increased  Shadow Realm cooldown from 30/24/18/12 to 32/26/20/14.', 'Reduced  Cursed Crown stun duration from 2/2.5/3/3.5 to 1.75/2.25/2.75/3.25.', 'Reduced  Bedlam damage per attack from 60/120/180 to 60/110/160.']"
7.19b,"['Reduced  Shadow Realm max damage from 120/200/280/360 to 90/180/270/360.', 'Increased  Cursed Crown cast time from 0.1 to 0.2.']"
7.18,"['Increased  Bramble Maze damage per second from 100 to 140/120/110/104. [?]', 'Reduced  Cursed Crown mana cost from 100/120/140/160 to 80/100/120/140.']"
7.17,"['Level 10 right talent: +20 attack damage reduced to +30.', 'Reduced  Bramble Maze cooldown from 40/35/30/25 to 34/31/28/25.', 'Talents:']"
7.16,"['Level 15 left talent: +40 movement speed reduced to +35.', 'Reduced cooldown from 40/35/30 to 30 on each level.', 'Increased duration from 4 to 5.', ' Bedlam\nReduced cooldown from 40/35/30 to 30 on each level.\nIncreased duration from 4 to 5.', 'Talents:']"
7.15,"['Reduced base  intelligence from 20 to 18.', 'Increased base attack damage from 25-33 to 27-35.']"
7.14,"['Level 25 left talent: +1s  Terrorize duration increased to +1.5s.', ' Cursed Crown no longer provides 2 seconds 325 radius ground vision around the target upon stunning.', ' Bedlam\nIncreased revolution duration from 1.5 to 1.8. [?]\nReduced damage per attack from 60/140/220 to 60/120/180.', 'Increased revolution duration from 1.5 to 1.8. [?]', 'Reduced damage per attack from 60/140/220 to 60/120/180.', 'Talents:']"
7.13b,['Increased base  strength from 18 to 20.']
7.12,"['Increased  Bedlam cooldown from 40/30/20 to 40/35/30.', 'Increased  Terrorize cast time from 0.8 to 1.']"
7.10,"[""Added to Captain's Mode.""]"
7.07b,"[' Bramble Maze now deals 50 damage in 0.5 second intervals, instead of doing 100/150/200/250 damage upon rooting. [?]', ' Shadow Realm\n[U] Fixed the projectile dealing no damage when getting dispelled before projectile impact.\n[U] Shadow Realm is no longer dispellable.', '[U] Fixed the projectile dealing no damage when getting dispelled before projectile impact.', '[U] Shadow Realm is no longer dispellable.', 'Reduced  Cursed Crown cast range from 800 to 600.', ' Bedlam\nReduced damage per attack from 75/150/225 to 60/140/220.\nReduced cooldown from 20 on each level to 40/30/20.', 'Reduced damage per attack from 75/150/225 to 60/140/220.', 'Reduced cooldown from 20 on each level to 40/30/20.']"
7.07,['Created.']
